Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,7,Le Castellet,McLaren,RIC,NOR,2.0,2.0,-40.0,0,1.5,permanent,0
2021,7,Le Castellet,Mercedes,HAM,BOT,-1.0,-1.0,54.0,0,-7.0,permanent,1
2021,7,Le Castellet,Mercedes,BOT,HAM,1.0,1.0,-54.0,0,7.0,permanent,0
2021,7,Le Castellet,Red Bull Racing,VER,PER,-3.0,-3.0,35.0,0,-2.5,permanent,1
2021,7,Le Castellet,Red Bull Racing,PER,VER,3.0,3.0,-35.0,0,2.5,permanent,0
2021,7,Le Castellet,Williams,RUS,LAT,-2.0,-2.0,0.0,0,-10.5,permanent,1
2021,7,Le Castellet,Williams,LAT,RUS,2.0,2.0,0.0,0,10.5,permanent,0
2021,8,Spielberg,Alfa Romeo Racing,RAI,GIO,3.0,3.0,0.0,0,-1.5,permanent,1
2021,8,Spielberg,Alfa Romeo Racing,GIO,RAI,-3.0,-3.0,0.0,0,1.5,permanent,0
2021,8,Spielberg,Alpine,ALO,OCO,-8.0,-9.0,5.0,0,-4.5,permanent,1
2021,8,Spielberg,Alpine,OCO,ALO,8.0,9.0,-5.0,0,4.5,permanent,0
2021,8,Spielberg,Aston Martin,STR,VET,-4.0,-5.0,-20.0,0,-1.5,permanent,1
2021,8,Spielberg,Aston Martin,VET,STR,4.0,5.0,20.0,0,1.5,permanent,0
2021,8,Spielberg,Ferrari,SAI,LEC,5.0,5.0,-10.0,0,-0.5,permanent,1
2021,8,Spielberg,Ferrari,LEC,SAI,-5.0,-5.0,10.0,0,0.5,permanent,0
2021,8,Spielberg,McLaren,NOR,RIC,-9.0,-10.0,42.0,0,-7.0,permanent,1
2021,8,Spielberg,McLaren,RIC,NOR,9.0,10.0,-42.0,0,7.0,permanent,0
2021,8,Spielberg,Mercedes,HAM,BOT,1.0,-3.0,60.0,0,0.8333333333333335,permanent,1
2021,8,Spielberg,Mercedes,BOT,HAM,-1.0,3.0,-60.0,0,-0.8333333333333335,permanent,0
2021,8,Spielberg,Red Bull Racing,VER,PER,-4.0,-3.0,45.0,0,-4.0,permanent,1
2021,8,Spielberg,Red Bull Racing,PER,VER,4.0,3.0,-45.0,0,4.0,permanent,0
2021,9,Spielberg,Alfa Romeo Racing,GIO,RAI,-1.0,-1.0,0.0,0,1.5,permanent,1
